time,total,model_score,confidence
5,3.95,0.0004509324476,8.67E-09
10,6.77,2.53E-07,2.31E-15
15,10.2,1.29E-11,4.92E-23
20,16.76,8.08E-15,3.23E-32
25,19.24,1.52E-18,1.47E-37
30,23.66,1.56E-22,2.35E-45
35,28,1.43E-27,4.14E-55
40,31.96,1.93E-31,6.17E-69
45,38.18,2.54E-35,3.69E-78
50,49.94,3.90E-39,2.13E-96
55,48.92,7.36E-44,1.69E-103
60,59.91,1.31E-47,3.43E-122
65,65,1.39E-51,6.78E-134
70,62.37,7.25E-56,8.41E-143
75,74.24,1.45E-60,7.37E-157
80,85.2,1.27E-64,2.44E-168
85,88.46,1.49E-69,1.03E-179
90,101.36,4.95E-75,3.93E-197
95,111.56,8.45E-80,2.19E-214
100,106.44,3.12E-84,2.33E-222
105,124.03,5.49E-89,4.59E-236
110,128.19,5.09E-94,6.85E-250
115,130.71,4.76E-98,1.49E-261
120,146.26,1.55E-102,4.40E-265